CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Income,Closed_Account
721511883,40,F,3,Graduate,Single,Blue,28,6,2,2,1709,0,1709,685,4981,79,975,0,43.07720945216715,0
711772983,43,M,2,High School,Single,Blue,35,5,2,2,1849,1293,556,835,4678,71,972,699,64.00043244473636,0
719962458,44,F,2,Graduate,Unknown,Blue,34,3,2,2,2561,1491,1070,733,4869,70,522,582,41.97560483589768,0
771626283,54,M,2,Post-Graduate,Married,Platinum,42,1,3,1,34516,1996,32520,988,15033,114,81,58,62.034726748242974,0
715919283,39,F,4,College,Single,Blue,36,3,2,3,1776,0,1776,518,2201,31,292,0,55.789204174652696,1
710833908,45,M,5,High School,Married,Blue,25,1,3,3,25601,1384,24217,745,12896,100,852,54,92.286127507686615,0
710428308,55,M,4,High School,Single,Blue,51,4,1,4,2001,1553,448,482,1910,51,7,776,67.95771182980388,0
819051183,47,F,4,Graduate,Married,Blue,42,4,1,3,16349,1925,14424,833,16207,114,81,118,57.94321037828922,0
714499908,45,F,3,Unknown,Married,Blue,31,5,5,3,2016,1303,713,599,3243,63,615,646,40.39335751440376,0
801383808,50,M,3,Graduate,Single,Blue,44,4,2,3,23090,839,22251,1326,1198,24,1,36,79.11499393172562,0
717722958,43,M,3,Uneducated,Married,Blue,36,1,3,2,4654,1349,3305,81,4277,71,69,29,102.29339577257632,0
709410033,56,M,2,High School,Unknown,Blue,36,1,1,1,4731,831,3900,96,14952,118,788,176,110.5958070140332,0
711000933,50,F,2,Graduate,Single,Blue,41,5,2,4,4846,2490,2356,788,3724,61,605,514,58.235309505835176,0
716979183,45,M,2,College,Married,Blue,34,1,1,2,17646,1396,16250,851,15527,106,893,79,64.13509072735906,0
713739708,61,M,0,High School,Single,Blue,53,1,3,3,2415,2050,365,499,4479,71,69,849,69.39546865411103,0
721310283,47,M,3,Graduate,Single,Blue,36,6,2,4,34516,933,33583,946,1804,32,6,27,193.47163371741772,0
797466033,32,M,1,High School,Married,Blue,26,3,2,3,2576,1754,822,1027,2880,69,468,681,44.46383537724614,0
709912683,53,F,4,Graduate,Single,Gold,41,5,1,2,34516,2374,32142,81,4390,77,604,69,147.4123862106353,0
720927183,56,F,4,Graduate,Married,Blue,36,3,5,2,2796,0,2796,884,4536,81,723,0,9.07443850301206,0
718002633,48,F,2,Graduate,Married,Silver,41,6,3,1,16002,2076,13926,293,3667,52,1167,13,54.304040991701186,0
778734108,36,M,3,Uneducated,Married,Blue,16,4,5,4,1686,1252,434,575,1758,42,11,743,74.65758560691029,0
712219083,41,M,3,Uneducated,Single,Blue,28,1,3,3,7142,1917,5225,727,7892,83,729,268,116.7864330019802,0
778143183,47,M,1,Graduate,Married,Blue,40,2,2,3,11773,0,11773,754,5098,58,1071,0,79.61906340438873,0
713082708,41,F,2,High School,Married,Blue,36,6,2,2,4953,991,3962,342,4183,67,489,2,95.63238420523705,0
780897858,38,F,2,High School,Single,Blue,20,4,3,3,2420,676,1744,782,3770,76,81,279,97.5018230266869,0
709247808,53,F,1,Unknown,Unknown,Blue,43,2,2,2,3629,2517,1112,735,14205,102,759,694,101.4575752429664,0
824805858,39,F,2,Uneducated,Single,Blue,35,5,3,3,9235,1479,7756,843,1537,49,581,16,38.22643510065973,0
787558683,45,F,4,Post-Graduate,Single,Blue,35,3,5,2,1850,621,1229,682,4234,74,682,336,52.24058472085744,0
821752908,53,M,2,High School,Single,Blue,49,2,3,2,4142,2252,1890,714,15078,117,746,544,77.21559542231262,0
714426783,38,F,2,Graduate,Single,Blue,31,2,3,2,14041,2154,11887,1084,1467,29,1417,153,97.3648454528302,0
717728808,39,F,2,Graduate,Married,Blue,26,3,1,2,4531,1214,3317,813,1414,40,333,268,125.107457395643,0
712569408,56,F,4,Doctorate,Single,Blue,44,4,2,3,3455,1385,2070,773,4925,82,745,401,55.88531945832074,0
712303908,47,F,4,College,Married,Blue,38,3,1,2,2633,1924,709,806,3407,66,535,731,48.74883717857301,0
811762383,42,F,2,Graduate,Married,Blue,37,4,2,1,2250,1788,462,523,4908,71,1152,795,35.14708266593516,0
715220508,31,F,0,High School,Married,Blue,22,4,2,1,3273,2517,756,1465,2726,57,727,769,198.56047709472475,0
717898758,55,F,2,Graduate,Married,Silver,45,6,3,3,12207,0,12207,319,5838,74,1056,0,116.98635038919748,1
710515308,42,F,1,Graduate,Single,Blue,36,4,3,1,3595,1904,1691,891,5025,84,647,53,63.05472697131336,0
720093333,41,M,3,Post-Graduate,Divorced,Blue,29,6,1,3,3491,2506,985,873,4855,79,58,718,176.40367221087217,0
779612808,61,M,1,Graduate,Married,Blue,50,6,2,4,2531,2360,171,955,1263,35,591,932,50.191829865798354,0
778239933,45,F,4,Graduate,Married,Blue,35,6,3,0,2801,2043,758,583,1241,46,643,729,103.26268100179732,0
713923233,46,M,3,High School,Married,Blue,36,6,3,3,2790,2185,605,671,3392,86,755,783,95.22777629084884,0
717049533,39,F,3,Doctorate,Unknown,Blue,28,5,3,0,7262,1466,5796,512,1438,28,556,202,40.69204588420689,0
716501133,36,F,2,Graduate,Single,Blue,36,6,4,0,2051,1154,897,605,3912,79,717,563,31.053830916061997,0
712560558,55,F,3,College,Single,Blue,42,5,2,1,14383,0,14383,612,4660,87,891,0,108.32523959688842,0
720249183,46,F,2,Graduate,Single,Blue,31,5,2,3,8243,927,7316,568,4503,90,765,112,189.4788302946836,0
714162033,45,F,3,Post-Graduate,Divorced,Blue,28,3,4,3,5216,1519,3697,887,3434,49,69,291,122.25353890098631,0
709787733,54,F,4,College,Single,Blue,48,3,2,2,9723,1307,8416,803,4043,76,9,134,12.437643017619848,0
718813833,44,F,3,Uneducated,Single,Blue,34,5,2,2,10100,0,10100,525,1052,18,1571,0,81.94861253723502,0
720802833,26,F,1,High School,Single,Blue,13,3,2,3,2404,1198,1206,501,2692,63,5,498,163.52707585319877,0
717202908,39,M,5,College,Married,Blue,29,3,3,4,34198,1804,32394,934,4270,59,639,53,100.0160096026957,0
771823308,33,F,2,Uneducated,Unknown,Blue,21,5,1,4,1475,986,489,896,1896,33,833,668,127.1425701212138,0
715750758,56,M,1,Uneducated,Married,Blue,36,6,1,1,9031,1535,7496,69,1602,35,591,17,80.48245902173221,0
720033033,53,F,2,Post-Graduate,Single,Blue,41,2,2,3,15101,1396,13705,692,13545,96,655,92,85.74190447106957,0
711199008,38,M,2,Unknown,Married,Blue,31,3,2,2,2919,2192,727,1073,2399,57,966,751,46.770695517770946,0
712203333,51,M,3,Graduate,Married,Blue,39,1,2,1,7088,1750,5338,618,4691,76,727,247,119.18995435349645,0
793412958,44,M,4,Unknown,Married,Blue,38,3,1,3,2440,1501,939,744,4382,88,66,615,78.48833641503006,0
771733608,47,F,1,Graduate,Married,Blue,35,3,3,5,14383,0,14383,809,2276,40,538,0,53.34436746314168,1
788630958,44,M,2,Uneducated,Single,Blue,28,3,1,2,11627,0,11627,638,3264,67,396,0,57.78618447482586,0
719953383,38,F,4,College,Single,Blue,27,2,3,3,14383,0,14383,721,4564,79,717,0,11.7103423923254,0
789328083,42,F,4,High School,Married,Blue,32,6,3,3,3454,0,3454,862,2826,39,625,0,78.7339907605201,1
778131333,38,F,2,Graduate,Married,Blue,31,6,3,3,3222,0,3222,786,5154,80,778,0,120.28809702023864,0
715129983,46,F,3,Graduate,Divorced,Blue,36,1,3,2,3515,0,3515,876,15079,116,841,0,62.36338769085705,0
780322908,52,F,3,Unknown,Married,Blue,38,1,2,3,3281,911,2370,665,4431,67,1094,278,154.29779328405857,0
721294533,48,M,4,Graduate,Married,Blue,34,1,1,1,34516,738,33778,719,15143,121,635,21,85.3401598893106,0
708805908,30,M,2,Graduate,Married,Silver,18,1,1,3,10017,726,9291,924,9299,68,619,72,62.69588773138821,1
711685758,60,F,1,Graduate,Single,Blue,42,3,2,1,3334,1151,2183,752,4791,101,629,345,49.53563963994384,0
712762758,46,M,2,Graduate,Married,Blue,34,4,2,0,9451,1280,8171,681,3179,79,975,135,76.74280878156424,0
711559008,40,F,4,Post-Graduate,Single,Blue,28,2,1,2,11642,1501,10141,935,9137,92,586,129,41.384952990338206,0
794843883,41,M,3,High School,Married,Blue,35,6,1,2,34516,1202,33314,603,1353,33,737,35,113.96691818721592,0
756944133,52,F,4,Graduate,Married,Blue,45,1,1,3,3705,2168,1537,662,4452,89,894,585,81.13773865625262,0
809296308,46,M,2,College,Single,Blue,41,4,2,0,21526,2332,19194,755,1313,37,609,108,91.4979706890881,0
754599558,40,F,3,College,Single,Blue,33,5,3,1,7207,2002,5205,828,3825,70,707,278,1.349838683381677,0
713808633,31,F,0,Uneducated,Divorced,Silver,23,2,2,1,10850,1873,8977,995,13794,127,789,173,192.74739515967667,0
757662258,46,F,4,Graduate,Divorced,Blue,39,3,1,1,2477,1480,997,826,5138,77,974,597,46.95005760062486,0
771756333,34,F,3,Graduate,Married,Blue,23,5,3,3,2263,1794,469,794,2154,37,542,793,145.29962074011564,0
708538608,50,F,4,College,Married,Blue,36,6,4,3,3862,0,3862,578,4058,81,723,0,194.2896907683462,0
710410158,49,M,2,Graduate,Unknown,Blue,38,3,4,3,34516,0,34516,482,1592,35,346,0,86.01410906761885,1
721228308,47,F,2,High School,Married,Blue,39,5,3,3,3899,0,3899,718,2182,40,429,0,1.3372669462114573,1
711110733,45,M,3,High School,Married,Silver,33,3,2,1,16928,1519,15409,894,3355,66,886,9,58.573261075653136,0
721288158,33,M,2,Unknown,Single,Blue,15,4,2,2,25033,2300,22733,716,2529,71,578,92,169.4451429322362,0
711711483,61,M,0,High School,Married,Blue,50,4,1,3,2800,2448,352,549,1433,40,481,874,97.53929967992008,0
778971408,36,M,4,Doctorate,Married,Blue,17,5,2,4,2803,1848,955,614,1968,64,524,659,70.3555004671216,0
805259733,55,F,2,Unknown,Married,Blue,50,6,1,4,11341,0,11341,412,1731,46,586,0,93.24484788812696,0
778399008,50,M,0,High School,Married,Blue,30,3,4,2,4252,0,4252,478,1598,45,324,0,90.18667769618332,0
779192283,51,F,2,Unknown,Married,Blue,39,3,1,2,6462,2517,3945,842,4156,77,833,39,196.00483113899827,0
708885558,56,F,1,High School,Single,Blue,48,1,5,2,3556,0,3556,596,2220,45,731,0,113.47807398997249,1
717276708,57,M,2,Unknown,Single,Blue,36,3,3,2,3127,2517,610,589,1470,30,1143,805,107.42395604029298,0
720070383,41,F,3,Uneducated,Single,Blue,29,6,3,3,2429,1966,463,1046,4775,84,787,809,32.82060860656202,0
711809283,31,M,1,Unknown,Married,Blue,36,3,3,3,1868,1515,353,1359,2229,35,667,811,42.521737003698945,0
712325433,39,F,2,Unknown,Single,Blue,28,6,2,2,1493,792,701,688,4131,80,702,53,23.530769208446145,0
719602908,42,F,2,Post-Graduate,Single,Blue,34,3,3,3,5667,812,4855,62,2064,42,4,143,54.22722284682095,1
720163458,38,M,1,Uneducated,Unknown,Blue,21,4,2,3,28043,1786,26257,802,14521,109,847,64,174.8025093600154,0
714554808,51,F,1,Graduate,Married,Blue,40,3,3,0,2774,1362,1412,866,4802,91,685,491,110.53522154688837,0
718083483,42,M,3,Uneducated,Unknown,Blue,35,4,5,0,6218,2134,4084,125,2086,50,786,343,154.73785516805947,0
717531483,37,M,2,High School,Single,Blue,21,5,2,2,3433,964,2469,526,4444,87,642,281,61.97687399107963,0
712797258,43,M,3,Graduate,Married,Blue,33,3,1,3,34516,2129,32387,587,1463,38,583,62,172.25469838827848,0
778357458,44,F,5,Unknown,Single,Blue,24,4,3,3,2003,1224,779,646,1756,42,355,611,128.24070020578802,0
712024908,56,F,1,College,Married,Blue,36,6,2,3,2641,1257,1384,891,1439,39,1053,476,174.1844325326383,0
718364283,43,M,3,Graduate,Single,Blue,30,3,2,4,19711,0,19711,1037,3602,72,1,0,69.10407298244536,0
711338058,45,F,1,Unknown,Married,Blue,33,6,3,2,14383,1201,2373,749,4851,86,72,835,105.55017860606311,0
773332908,48,M,4,High School,Unknown,Blue,30,3,3,2,14670,1900,12770,806,4221,83,766,13,77.6616289280355,0
718320933,47,M,3,Uneducated,Married,Blue,36,2,3,1,11919,2347,9572,842,8257,96,574,197,64.11638147663325,0
826783233,57,F,3,High School,Single,Blue,53,1,3,2,3029,2214,815,7,4750,89,978,731,28.755395160987973,0
779018508,45,M,4,Uneducated,Single,Blue,35,2,2,2,11318,2082,9236,733,7179,93,632,184,116.1254538781941,0
709210833,48,F,2,Doctorate,Married,Blue,36,1,2,2,9074,1648,7426,727,14084,110,803,182,48.5270222555846,0
804462633,43,F,3,High School,Divorced,Blue,38,3,3,3,7084,0,7084,523,2287,44,294,0,173.71233701705933,1
711340233,46,F,0,Graduate,Single,Blue,34,6,1,2,9216,2059,7157,763,3630,78,56,223,167.66005586832762,0
778601733,55,F,3,High School,Single,Blue,47,5,4,3,2687,1689,998,714,2370,34,789,629,48.90700733754784,1
818235408,30,M,0,College,Married,Blue,25,2,3,1,19534,0,19534,616,15634,118,639,0,77.50870164949447,0
713697933,47,M,2,Uneducated,Single,Blue,36,3,2,2,34516,1264,33252,774,7827,77,54,37,96.47994625382124,0
816533733,50,M,1,Unknown,Married,Blue,45,5,2,2,33951,0,33951,822,1567,44,467,0,86.40170274302363,0
718031508,45,M,4,College,Divorced,Blue,37,6,5,1,1535,0,1535,77,5168,76,81,0,109.0650588925928,0
714146208,40,F,4,Unknown,Single,Blue,32,6,1,1,2594,2159,435,792,3872,71,511,832,27.340454142540693,0
787466808,35,F,0,Unknown,Married,Blue,22,2,2,3,3009,2517,492,735,5329,82,745,836,11.227855458855627,0
714347508,35,M,2,Uneducated,Single,Blue,21,4,3,3,7766,1278,6488,806,2423,74,609,165,74.61439058184624,0
715080258,37,F,1,High School,Single,Blue,36,3,2,3,6730,1093,5637,101,4814,89,854,162,177.54751262255013,0
780881358,35,M,3,Graduate,Single,Silver,17,6,3,2,16659,0,16659,1012,2551,74,609,0,51.925698849372566,0
715421058,51,M,1,Unknown,Married,Blue,36,3,2,4,22224,979,21245,1255,3346,69,1156,44,60.344411823898554,0
708801108,57,F,3,Uneducated,Single,Blue,51,3,0,3,14383,0,14383,429,2113,38,267,0,152.2640984505415,1
721425558,52,M,2,Graduate,Single,Blue,37,2,3,2,14543,0,14543,788,1536,37,423,0,121.54542645439506,0
788813658,62,F,0,Graduate,Single,Blue,45,2,2,3,10503,0,10503,886,4755,88,725,0,110.28157346881926,0
766381908,49,F,4,High School,Married,Blue,42,4,1,4,2473,1263,1210,71,4597,80,6,511,117.46014626696706,0
713305233,55,M,2,Graduate,Single,Blue,46,5,5,2,4994,0,4994,717,4802,81,761,0,118.3383189793676,0
714713508,49,M,2,Doctorate,Divorced,Blue,36,3,3,1,25178,1803,23375,767,7836,87,582,72,83.0920647084713,0
720379533,47,M,3,Unknown,Unknown,Blue,36,1,3,4,3952,0,3952,809,2066,37,233,0,196.0434082336724,1
711864783,61,M,1,Uneducated,Single,Blue,46,5,3,2,2201,1138,1063,675,1199,32,6,517,78.61535544507205,0
815472108,42,M,3,High School,Single,Blue,37,3,3,3,2247,1045,1202,952,1300,31,55,465,50.237418352626264,0
713998233,37,F,2,High School,Single,Blue,36,6,2,4,3586,1414,2172,745,2780,57,727,394,142.08210152573884,0
710795883,33,F,3,Uneducated,Married,Blue,16,6,1,4,2042,1864,178,1318,2758,50,852,913,194.3526492919773,0
716926758,40,F,2,Uneducated,Single,Blue,27,2,6,2,1965,0,1965,608,4268,91,857,0,113.33849425427616,0
787339158,56,M,1,Graduate,Married,Blue,50,3,6,3,8688,0,8688,426,2361,41,464,0,98.24688136577606,1
716211258,59,F,1,College,Unknown,Blue,49,6,5,4,4072,0,4072,464,1966,43,115,0,64.1284289304167,0
716858433,43,F,4,Graduate,Single,Blue,32,4,3,1,3015,0,3015,1058,5372,75,596,0,135.58614598587155,1
720212508,51,F,1,Graduate,Single,Blue,37,4,3,4,4402,697,3705,7,3325,76,652,158,54.22549019567669,0
770842833,49,F,3,High School,Married,Silver,36,2,3,3,34516,1273,33243,977,4777,51,457,37,138.82713136263192,1
819196158,49,F,2,Unknown,Single,Blue,44,5,2,3,9797,998,8799,886,15013,116,841,102,195.71167742833495,0
717733158,43,F,3,Doctorate,Married,Blue,29,4,2,3,3186,2517,669,59,4197,84,909,79,60.837849508970976,0
714900408,41,F,4,High School,Single,Blue,31,3,1,0,5773,0,5773,67,1306,39,5,0,41.673499485477805,0
712305333,59,M,0,Graduate,Single,Blue,53,4,2,2,4386,2505,1881,806,4064,65,806,571,79.16662695351988,0
789138258,45,F,3,High School,Single,Blue,34,2,3,2,2976,2372,604,772,4799,83,729,797,33.00371281802654,0
709326183,50,M,2,High School,Single,Blue,40,6,2,2,5180,1211,3969,809,3447,74,85,234,60.3645766666159,0
709022883,44,F,4,College,Married,Blue,36,6,3,2,14383,0,14383,651,4257,89,648,0,91.1813468206674,0
713759583,54,F,3,High School,Married,Blue,36,1,1,1,3173,1822,1351,801,4883,71,614,574,74.65610587969422,0
717740658,55,F,2,College,Married,Blue,45,5,2,4,1850,942,908,757,4134,78,625,509,45.53083255887032,0
716736858,47,F,4,Graduate,Married,Blue,39,3,3,2,3144,0,3144,561,3774,80,818,0,48.47490726970136,0
714136233,53,M,4,Graduate,Married,Blue,38,5,2,3,34516,0,34516,854,8417,72,714,0,195.60148645192385,1
716260833,56,F,5,Unknown,Single,Blue,36,6,3,5,4668,2517,2151,1062,8331,63,853,539,136.49410870857537,1
713569158,43,F,3,High School,Single,Blue,34,1,3,2,1654,1474,180,586,2086,47,621,891,40.81312638241798,1
720841533,29,M,0,Graduate,Married,Blue,15,3,1,5,4700,0,4700,617,14723,96,655,0,171.16591003723445,0
714036258,47,F,3,Unknown,Single,Blue,36,4,1,4,2798,1963,835,805,4255,64,561,702,62.623121310025454,0
816091608,37,F,1,College,Single,Blue,32,4,2,3,1976,0,1976,812,4424,73,659,0,58.30943304114044,0
747074058,47,F,3,Unknown,Single,Blue,40,1,3,0,7114,1637,5477,699,4758,81,5,23,52.97272177413106,0
718871358,45,F,2,Graduate,Single,Blue,36,4,1,1,1785,0,1785,649,4964,82,907,0,152.78857564553618,0
720408708,49,F,2,Uneducated,Married,Blue,36,3,4,1,2505,0,2505,62,4109,61,743,0,178.51962973363698,0
709709283,38,M,3,College,Single,Blue,19,1,2,4,3458,321,3137,586,2256,40,29,93,58.8124073157087,1
717930483,37,M,2,Graduate,Single,Blue,25,3,3,0,5616,0,5616,995,1564,31,476,0,168.56152720749378,1
715702758,38,F,4,Graduate,Married,Blue,36,4,3,3,1860,0,1860,992,1731,29,611,0,173.15018898807466,0
778799583,35,F,0,Unknown,Married,Blue,24,6,1,1,2592,2227,365,633,1695,48,548,859,155.9847456868738,0
713437008,40,F,3,Graduate,Married,Blue,25,1,2,3,6888,1878,5010,1059,9038,64,829,273,124.1893081460148,1
710527533,45,M,5,College,Single,Blue,36,4,3,3,4982,0,4982,886,8586,58,1,0,50.10831057559699,1
769927533,50,F,1,High School,Married,Blue,44,4,2,1,3222,1422,1800,662,4613,72,6,441,116.84549073688686,0
709081683,65,M,1,High School,Single,Blue,54,3,1,3,4599,1438,3161,832,4208,69,865,313,16.203374369069934,0
758178558,44,F,3,Graduate,Single,Blue,37,3,2,1,4703,1555,3148,932,4127,89,648,331,84.66500868089497,0
708269583,42,F,3,Uneducated,Divorced,Blue,28,6,2,4,2029,1377,652,838,4014,86,686,679,15.894642565399408,0
789690483,39,M,4,High School,Married,Blue,25,6,2,3,8208,0,8208,1568,3135,39,1167,0,105.8487240318209,0
780064983,44,M,1,Graduate,Married,Gold,29,2,1,3,34516,942,33574,75,7665,86,593,27,101.0806443169713,0
818701383,37,M,3,High School,Married,Blue,32,6,2,2,2253,1667,586,884,1641,45,667,74,63.06656970642507,0
714923583,38,F,2,Graduate,Unknown,Blue,36,2,3,2,2369,0,2369,51,1924,48,548,0,167.71443923935294,1
715268508,42,M,3,Graduate,Married,Gold,36,3,2,5,23981,1399,22582,712,14840,125,761,58,58.6694935336709,0
713533983,56,M,1,Graduate,Married,Blue,48,6,3,4,2585,1207,1378,44,1590,33,32,467,139.38236000016332,0
717234183,29,M,1,Graduate,Married,Blue,18,4,1,4,2710,629,2081,771,1718,37,762,232,25.0488321762532,0
720771933,49,F,3,Post-Graduate,Married,Blue,36,5,2,1,1994,0,1994,829,4434,69,568,0,40.694767478853464,0
709436883,56,F,2,Uneducated,Single,Blue,48,6,2,2,2941,1619,1322,9,5000,87,673,55,45.587361422367394,0
797228883,46,M,2,High School,Married,Blue,40,3,3,0,3981,0,3981,626,14340,114,781,0,44.21637755353004,0
712552608,46,F,3,Graduate,Married,Blue,34,3,3,1,14383,0,14383,714,2658,43,654,0,67.81423785723746,1
756989583,41,M,4,Graduate,Unknown,Blue,24,4,2,2,1605,0,1605,637,4418,68,659,0,51.319631822407246,0
711627558,40,F,3,Uneducated,Single,Blue,30,5,1,2,1625,912,713,877,3968,73,698,561,68.26550564728677,0
788259558,59,M,0,Unknown,Married,Blue,51,5,3,4,1570,1028,542,742,1430,28,1333,655,41.54285863041878,0
720281508,44,F,2,Doctorate,Divorced,Blue,34,3,1,2,2406,1491,915,606,4625,91,685,62,127.93259019963445,0
714253983,44,M,3,Unknown,Married,Blue,36,4,2,3,9465,0,9465,657,3675,59,1107,0,52.252494865097106,0
716635758,38,F,2,Unknown,Single,Blue,29,5,3,2,3276,2331,945,567,4345,68,511,712,44.68943675048649,0
772204758,42,F,2,Post-Graduate,Unknown,Blue,31,3,2,2,3809,1165,2644,634,2306,46,643,306,2.140090148895979,0
768475383,62,F,0,Unknown,Single,Blue,56,6,1,2,4467,0,4467,888,4007,74,542,0,41.32369284052402,0
713920158,41,F,3,Uneducated,Unknown,Blue,36,2,3,1,13733,0,13733,325,1591,30,875,0,120.0349282938987,1
717078933,40,F,5,Graduate,Single,Blue,29,3,2,4,4205,2517,1688,652,4256,69,725,599,47.38313429988921,0
778155558,45,M,3,Unknown,Married,Blue,38,3,1,2,23973,0,23973,779,3560,71,511,0,112.59633616544306,0
